Old build artifact,AndroidX build artifact
com.android.support:support-v4:,androidx.legacy:legacy-support-v4:1.0.0
com.android.support:appcompat-v7:,androidx.appcompat:appcompat:1.1.0
com.android.support:recyclerview-v7:,androidx.recyclerview:recyclerview:1.1.0
com.android.support:support-annotations:,androidx.annotation:annotation:1.1.0
com.android.support:support-compat:,androidx.core:core:1.1.0
com.android.support:design:,com.google.android.material:material:1.0.0
com.android.support:cardview-v7:,androidx.cardview:cardview:1.0.0
com.android.support:multidex:,androidx.multidex:multidex:2.0.1
com.android.support.constraint:constraint-layout:,androidx.constraintlayout:constraintlayout:1.1.3
com.android.support:support-fragment:,androidx.fragment:fragment:1.1.0
android.support.test.runner.AndroidJUnitRunner,androidx.test.runner.AndroidJUnitRunner
com.android.support.test:runner,androidx.test:runner:1.1.0
com.android.support.test.espresso:espresso-core,com.android.support.test.espresso:espresso-core:3.1.0
